user_id,Q1,Q2,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms)
79,10,,408.76574,1028.11,506.71,0.53,5001.85,2780,2012.2,175
80,10,,646.53669,5003.08,376.06,0.64,7552.47,1175,3124.31,69
81,"2, 9",,567.03467,1049.72,149.62,1.29,1925.91,1263,761.13,475
82,1,4,286.58871,3351.44,599.57,1.56,5638.87,1469,2097.73,121
83,5,,758.32914,2934.23,231.69,1.25,7256.13,1638,3280.88,33
84,10,,312.46178,1723.96,75.5,1.11,11276.55,879,1947.06,66
85,1,,683.1931,268.66,64.92,2.29,881.19,2796,378.31,403
86,7,"1, 3, 4, 5",520.899,886.86,157.48,2.05,4303.92,3198,613.15,303
87,5,,429.77113,14457.02,227.59,0.17,29670.67,848,2934,50
88,10,,494.39228,1825.28,151.14,0.19,7780.82,1531,2164.29,144
89,9,,378.86336,737.17,89.83,0.97,3447.13,1791,1362.94,108
90,1,,328.29042,145.24,44.65,0.87,5366.77,1210,3701.29,112
91,3,"1, 3, 4, 5",568.15257,1160.22,401.55,1.11,3430.35,1504,959.45,206
92,9,,707.25802,1108.48,88.55,0.72,11130.4,1130,12260.16,122
93,10,,149.22243,362.09,81.94,2.62,2042.45,3440,1307.12,184
94,5,3,670.49166,427.31,76.26,1.21,1510.16,2714,751.69,352
95,10,,105.05401,4100.28,42.51,2.35,4791.56,805,91.71,161
96,1,,773.77841,4320.8,223.72,0.48,6181.48,1351,2124.43,66
97,9,,270.98107,7728.4,87.67,0.15,17973.09,759,865.94,54
98,9,,274.47638,225.48,21.42,3.29,1275.88,3046,660.48,198
99,4,"2, 3, 4, 5",698.15865,2114.86,139.82,1.46,4000.41,1699,1070.51,228
100,10,,628.8503,251.42,37.66,3.56,768.22,3642,379.34,986
101,8,,358.053,344.39,48.94,2.14,955.78,1955,1026.2,392
102,8,"3, 5",530.77703,4973.39,104.63,0.88,4236.16,1261,2012.46,349
103,10,,376.50973,2837.56,252.9,0.82,4480.8,2029,1359.37,94
104,3,"1, 3, 4",321.4876,4638.15,249.83,0.33,5814.44,1512,2398.78,71
105,5,,135.20952,7049.08,152.42,2.16,10162.03,6581,3921.23,92
106,1,1,570.85534,1626.01,195.62,0.34,5617.03,1570,2327.63,123
107,2,7,434.32969,2911.12,234.24,0.7,4479.21,1651,2839.93,77
108,10,,127.24798,2648.4,372.55,0.59,11380.07,995,937.6,81
109,10,,154.62359,695.76,140.62,3.82,8100.52,1288,2157.63,45
110,9,,198.71895,406.73,87.73,2.57,12791.05,1700,1353.73,118
111,1,,411.54243,1843.44,116.53,1.18,8687.95,1570,2943.98,36
112,7,1,219.43507,2977.72,69.86,0.54,12977.01,916,2019.76,72
113,1,3,836.22982,4014.24,157.21,2.21,7509.01,1269,1973.01,89
114,1,"1, 3, 4, 5",722.49427,1966.98,73.95,0.76,2948.67,2283,2408.96,105
115,9,,107.51175,299.29,80.37,1.55,497.75,1651,448.37,205
116,5,"1, 2, 3, 4",252.17192,169.07,43.85,3.9,535.94,2002,340.53,652
117,10,,263.43789,1154.13,211.12,2.95,5147.77,1523,2683.95,76
118,0,,837.55274,2511.24,113.1,0.39,4976.77,2244,1544.19,66
119,8,3,393.30712,763.51,106.94,1.8,2065.65,1628,1088.96,164
120,7,"1, 3",642.37716,2110.33,114.53,1.87,8138.25,1228,2229.25,85
121,1,"1, 3",623.81383,2588.4,197.92,3.41,4202.02,1702,1512.03,136
122,10,,460.80118,3275.35,115.01,0.72,1462.88,2738,1564.54,84
123,7,,257.50337,3205.09,106.86,2.43,9653.85,1490,1170.39,64
124,1,"3, 4, 5",141.84354,410.68,124.85,4.05,8590.39,1032,1299.91,71
125,4,,278.42768,3727.83,1136.32,0.12,6535.07,1410,3360.63,39
126,1,,165.24999,7253.16,328.39,0.43,16001.24,1367,3653.61,35
127,10,,286.54752,9223.92,165.65,0.45,22092.88,871,6829.43,50
128,4,"1, 3",306.42266,1527.98,169.91,0.61,7265.29,1238,2160.34,88
129,1,4,641.85847,4410.52,357.93,1.86,6230.28,1143,1877.49,73
130,10,,302.21335,738.03,56.19,1.67,9209.13,1539,1571.93,223
131,10,,264.61025,5365.16,73.02,3.61,7586.57,1614,1834.05,493
132,1,"3, 4",210.15486,811.02,209.44,6.93,5172.86,1620,2323.74,47
133,3,,453.93153,637.2,43.77,1.87,3688.17,2108,1563.16,290
134,7,"1, 4",126.95619,3557.73,80.84,0.3,7237.32,895,4717.72,171
135,7,,421.39833,506.75,232.7,2.29,1158.33,3295,755.5,223
136,10,,397.41649,4009.36,134.56,1.34,7640.58,1382,4652.72,97
137,1,3,525.45815,740.18,113.79,1,3901.56,2820,2376.57,407
138,9,,518.38027,1852.18,317.26,1.86,3104.08,1588,1321.77,290
139,10,,216.69512,1602.34,266.14,1.67,7049.36,1698,5573.85,119
140,10,,718.55863,231.37,6.45,2.42,2627.68,2082,7487.97,127
141,9,,101.51956,3593.01,81.51,5.08,2558.07,2599,891.73,533
142,7,,330.72342,988.29,222.83,1.57,2792.5,1707,2572.03,84
143,3,,144.11905,307.4,40.95,0.85,2246.36,2387,304.78,356
144,10,,178.08394,1357.57,62.78,0.26,1255.52,2966,1013.01,253
145,7,"3, 4",432.82045,901.81,134.15,0.5,4005.43,991,2400.75,58
146,10,,220.20458,2878.72,71.31,0.41,17389,999,2469.62,93
147,5,1,446.40484,4186.5,165.16,2.05,5913.07,1738,3155.92,75
148,10,,805.03511,1956.25,58.75,1.12,6327.94,1229,1848.03,102
149,10,,518.93294,2228.28,79.24,1.96,7138.52,1387,3554.29,106
150,10,,640.09981,1443.07,77,1.67,6888.27,880,1096.31,118
151,5,3,158.23384,2533.27,164.74,2.04,5852.28,1155,1747.06,86
152,10,,200.6338,662.75,103.7,1.27,4201.93,2040,537.02,268
153,4,4,790.46582,1646.96,1612.84,1.81,4681.5,1623,1846.17,75
154,9,,799.01739,3922.05,603.36,0.18,11525.33,1119,3684.06,35
155,8,,220.56398,2428.09,52.36,1.01,4867.31,1674,3747.48,47
156,2,,550.72732,2791.84,93.91,2.34,2783.36,2743,1635.68,62
157,10,,352.26434,1069.8,54.11,1.75,2825.71,2513,399.05,67
158,10,,308.84074,968.33,126.77,1.11,1611.91,1801,963.36,320
159,0,,126.51761,361.56,46.89,0.82,965.21,3564,1709.08,90
160,3,,171.49052,162.89,97.34,6.35,622.81,2982,814.03,117
161,10,,362.04084,4986.72,226.19,0.35,13296.82,1687,2729.99,162
162,1,1,134.13025,685.28,60.23,0.78,2184.13,1448,673.14,203
163,10,,639.3184,1241.41,128.46,1.3,4490.44,1454,808.42,120
164,4,3,248.91379,1499.15,60.14,2.01,1950.59,1794,1265.82,258
165,2,,108.04343,496.45,80.41,12.13,2207.22,2355,1328.33,136
166,3,4,200.37793,851.11,122.72,1.3,18373.97,718,5443.89,63
167,10,,162.55346,342.81,135.72,1.82,1715.36,3661,722.96,295
168,1,4,661.11584,1057.29,144,1.57,5493.31,1346,1615.08,77
169,10,,114.89974,730.88,73.41,0.94,10632.89,872,2496.12,67
170,7,"1, 3",127.20035,1743.78,114.22,8.47,1811.71,4275,1340.45,60
171,10,,402.27899,3908.88,353.31,0.33,5427.15,1695,1635.82,182
172,5,3,662.58743,1190.57,50.19,2.92,2311.07,2301,592.46,523
173,10,,222.90802,2196.63,161.33,4.96,6639.52,1622,793.27,125
174,1,,197.31715,76.18,83.45,0.49,5232.21,1096,2870.65,80
175,3,,118.42925,1614.98,88.33,0.53,2051.19,2901,1524.64,67
176,9,,141.62627,2172.7,51.95,2.99,15083.35,1558,1542.65,96
177,10,,265.28787,2783.55,297.82,0.5,13782,1053,1225.45,113
178,10,,603.18846,3430.17,282.59,0.93,4446.76,1418,2509.8,255
179,10,,519.07016,4344,301.39,0.4,13444.5,1118,8174.97,47
180,8,,109.53055,2720.64,110.23,1.13,4754.25,2772,1290.31,111
181,10,,244.6757,1600.86,1951.51,0.69,2876.91,1058,2997.28,57
182,7,,117.22304,504.27,109,3.05,800.35,3575,458.3,223
183,5,"3, 4",539.25519,420.27,52.51,5.97,4325.83,3312,1238.09,253
184,10,,391.84413,674.05,72.72,3.05,6226.34,3308,653.74,130
185,7,,144.94069,4299.5,13.97,0.15,19682.64,1371,5642.71,58
186,10,,399.42999,4473.16,132.89,0.98,4125.98,2194,1720.03,76
187,1,1,755.47878,424.65,42.46,0.69,1207.77,3608,225.2,650
188,7,,458.05285,155.93,26.43,1.84,477.79,3330,716.38,682
189,2,,187.07133,1143.58,53.02,1.06,7421.63,920,3672.51,69
190,9,,824.6195,1465.5,151.7,2.32,4617.09,1312,3148.61,188
191,5,"3, 4",162.99205,970.73,172.97,3.45,3039.86,3577,1177.12,199
192,10,,171.60923,1201.12,528.39,0.39,3237.94,2010,1180.1,124
193,9,,614.18835,1994.3,164.1,1.26,3660.15,2353,3170.4,72
194,10,,372.1625,3112.07,58.27,0.43,4109.85,4516,1672.64,149
195,1,,312.69444,1644.96,50.68,1.95,3940.25,1060,2961.89,35
196,3,"1, 3, 4",707.04507,281.43,203.18,0.74,5864.98,1743,1697.11,68
197,10,,136.8775,1299.81,168.83,1.96,2004.88,7716,3574.27,71
198,3,"1, 2, 5",325.62719,207.94,92.51,0.91,5451.41,1603,2420.94,328
199,1,3,231.7499,371.53,76.67,2.31,5681.52,1940,2085.46,67
200,7,3,410.42906,584.55,34.33,0.34,3360.21,1216,2379.27,129
201,8,1,373.58745,1921.92,198.55,0.68,3407.53,1933,3673.08,143
202,8,"1, 4",825.33039,832.71,181.23,3.65,2164.55,2807,929.74,180
203,5,3,128.54965,658.89,27.85,3.15,3538.03,2538,387.69,127
204,3,1,504.89591,1202.62,315.73,0.58,1493.12,6415,1630.55,136
205,1,,649.93851,244.05,132.84,1.55,1327.9,2293,1038.16,248
206,1,1,553.19073,17059.56,131.01,0.49,33968.46,1130,1897.47,138
207,8,3,342.73753,7238.46,279.59,0.77,9196.58,952,2649.02,700
208,8,,445.55832,7145.12,135.99,0.41,6830.29,1188,3297.66,99
209,6,1,242.92679,2582.21,171.94,1.07,11622.84,1268,8289.42,63
210,10,,578.33399,5516.66,390.97,0.48,9939.9,994,3128.41,71
211,7,4,131.03938,2319.17,108.34,1.69,2593.98,1712,271.04,134
212,1,4,298.91963,316.03,37.07,1.95,615.07,2692,536.89,390
213,8,4,363.02956,62.98,38.44,2.24,169.21,2405,104.65,1700
214,3,,284.92713,2969.94,485.06,0.72,6676.22,1902,2810.91,148
215,7,,112.98534,895.57,103.75,1.6,3213.02,2024,1285.47,359
216,7,,481.88024,2530.62,85.08,2.02,6548.83,1738,3655.39,123
217,3,"4, 5",385.69806,383.06,122.21,0.79,2868.84,2598,1657.11,189
218,10,,726.16407,786.24,48.21,1.01,3141.42,2227,1883.12,104
219,8,"3, 5",717.16687,1732.61,132.59,3.9,4526.04,1275,2091.13,133
220,3,"1, 5",449.07227,115.41,86.67,1.52,725.42,3281,321.65,675
221,8,"1, 3, 4",184.87969,1051.22,125.07,4.52,4276.76,1828,1072.95,312
222,10,,847.07949,2716.56,493.14,0.44,14998.4,1095,4836.47,81
223,10,,776.94379,1613.28,50.79,1.68,1011.16,1951,1619.05,269
224,9,,203.80059,1026.93,21.19,0.79,5003.03,1939,1657.97,164
225,2,4,236.49097,754.91,22.11,2.84,1160.56,1891,24115.95,90
226,9,,255.70733,4585,243.65,1.25,7509.52,1214,2396.02,62
227,10,,306.83406,2687.81,152.49,1.6,10647.16,1177,5624.71,554
228,10,,723.57369,580.97,35.54,1.04,5321.19,1246,3456.08,70
229,1,4,814.81969,3789.56,80.5,1.25,5156.7,1408,1584.12,138
230,10,,318.28273,4269.62,97.93,0.85,6019.44,1299,1549.4,104
231,1,"1, 2, 3, 4",254.24204,3154.08,80.86,1.04,4056.44,2402,2768.65,132
232,9,,190.85699,369.7,57.54,6.16,533.56,4737,565,98
233,1,,290.33203,625.85,150.38,4.22,4904.43,1792,1797.12,101
234,1,"1, 2, 4",118.71639,1115.48,92.2,1.69,381.33,1303,460.19,612
235,1,"1, 2, 3, 4, 5",147.8762,35.51,81.28,0.31,2380.27,2103,1399.22,131
236,10,,251.19062,124.06,33.81,1.54,1173.08,1916,574.25,398
237,1,"1, 3",154.98348,164.9,97.51,1.55,2543.58,2293,447.24,156
238,1,"3, 4",621.83723,2192.37,157.69,0.87,4176.94,1144,1245.06,119
239,"1, 3",,347.03333,2177.92,152.08,2.23,5305.51,1039,2978.12,75
240,3,"3, 4",186.12718,178.52,23.43,5.2,869.52,6629,384.49,633
241,10,,194.35922,147.33,34.81,1.04,3959.31,1094,605.25,131
242,10,,827.37286,1307.17,184.17,1.17,4638.82,1607,2753.15,95
243,10,,474.56899,420.24,76.88,0.98,1362.31,1844,315.87,440
244,8,3,692.54495,3773.11,271.06,0.45,7169.49,1909,3312.53,56
245,7,,170.21742,1911.49,78.78,0.54,3782.82,1499,2615.93,66
246,19,,443.12523,4053.99,320.17,1.44,14922.21,941,3082.47,143
247,8,1,207.27389,7233.92,261.12,5.26,21961.97,3946,2350.1,163
248,10,,588.55555,1880.59,324.26,1,3862.98,1843,1533.14,154
249,9,,288.60334,444.94,77.47,0.78,2547.96,2105,897.65,442
250,4,"1, 4",443.32777,416.97,95.64,1.04,688.35,4031,608.39,397
251,8,3,100.47952,265.43,102.99,1.98,945.83,12937,2198.83,147
252,10,,138.54994,2908.94,327.58,0.38,10651.96,1227,3454.95,72
253,3,"1, 2",143.67331,1082.58,33.29,1.3,6116.81,1762,4358.78,91
254,8,4,336.7862,1314.03,152.49,1.8,16156.36,1216,912,182
255,5,4,468.37611,4629.74,122.52,1.15,13305.8,1269,1908.89,63
256,8,1,454.63951,1279.38,32.75,1.3,5131.74,3045,2580.22,126
257,10,,804.13249,1461.58,207.65,0.86,6572.46,1218,3305,71
258,10,,138.80866,1010.71,38.36,2.39,7498.67,2402,783.8,58
259,10,,500.84506,676.48,53.71,1.06,7971.83,1471,3917.25,71
260,10,,385.32605,478.18,88.24,3.01,1015.12,5846,1122.29,260
261,8,6,881.53817,1148.53,113.26,8.59,1542.77,2958,846.65,133
262,1,"1, 4, 5",578.79223,11746.28,156.18,0.18,26367.73,984,1977.63,67
263,7,4,459.24354,571.91,391.69,3.52,4001.96,2630,1105.85,192
264,8,,416.7602,1140.19,153.13,2.59,1602.37,6624,1393.92,81
265,9,,165.44489,2480,164.28,0.29,5436.22,1134,1644.98,135
266,10,,259.4382,4471.92,213.39,0.91,5867,1668,1899.41,143
267,3,"3, 4",107.10074,1132.86,237.18,2.78,1922.66,1200,1101,98
268,1,3,592.07883,5918.64,120.15,0.45,7408.84,1201,1120.81,90
269,3,"1, 2",210.36844,1071.55,146.83,1.88,14847.78,2801,701.53,73
270,9,,132.62639,354.08,51.75,1.11,438.01,1885,1073.59,110
271,10,,177.99535,3409.72,520.26,1.96,4250.29,2677,1487.49,158
272,1,,600.41684,1549.94,398.06,1.72,4586.13,1491,1517.39,111
273,1,"1, 3, 4, 5",336.92884,712.61,106.78,1.3,2412.73,1653,1290.35,132
274,1,4,360.26919,210.18,33.59,0.49,711.98,1166,313.64,638
275,10,,824.09745,1879.29,95.18,1.21,1114.44,2151,1402.54,204
276,5,"3, 4",175.75125,1081.65,71.78,1.25,2361.86,1743,464.56,132
277,1,,547.88384,1564.44,337.92,3.56,4922.61,1293,1322.85,88
278,10,,239.02775,2740.02,62.36,0.22,22642.69,1041,1397.6,116
279,3,,666.82161,1418.69,292.63,2.16,4884.25,2921,2328.22,84
280,10,,699.6179,4406.26,283.32,0.58,8395.34,1267,2889.38,50
281,3,1,247.60863,5204.18,59.63,1.59,6513.32,1112,1311.25,160
282,3,,780.87786,3582.28,136.36,0.36,9834.35,1717,3801.6,49
283,10,,508.18096,2018.69,301.71,1.56,3337.86,4037,1469.86,76
284,5,"1, 3, 4",281.36482,1078.62,210.61,1.68,3396.59,1836,2814.74,59
285,8,,215.97179,3295.25,74.21,0.45,3575.33,1540,2074.67,114
286,5,,630.30974,1533.58,560.91,0.45,4233.2,1866,5417.48,97
287,2,"1, 3, 4",222.41038,3374.35,187.87,1.46,7961.82,1894,1942.52,68
288,4,,442.09893,1045.56,189.11,1.31,4405.74,1853,2123.71,84
289,1,"1, 4",795.10737,18573.35,63.29,0.36,1278.35,3651,549.49,206
290,7,,555.71227,2627.6,91.44,0.52,6685.78,1162,2816.07,76
291,1,1,185.51429,326.72,206.48,1.05,5050.69,2100,1147.42,182
292,5,"3, 4, 5",116.84672,771.69,340.23,1.78,2158.57,1738,1441.26,74
293,1,1,261.75046,2936.23,207.36,0.95,1116.14,4430,1453.49,153
294,3,"1, 3, 4, 5",767.98749,1106.41,112.61,0.43,6117.3,1345,2323.22,109
295,5,1,802.65548,6777.85,94.88,0.36,8601.8,1252,6306.88,78
296,2,"1, 4",299.30973,361.74,127.64,3.62,2414.54,2697,1111.22,144
297,1,,730.71749,3185.93,90.77,1.37,4456.3,2218,1941.97,236
298,1,"1, 2, 3",453.52772,3184.88,178.34,0.7,13195.72,1403,2359.78,258
299,1,,360.63708,316.69,34.77,2.23,2052.31,1666,1557.38,1663
300,3,3,880.91946,2100.88,243.58,0.99,6619.46,1596,1899.95,86
301,3,"3, 4",620.83208,1026.6,82.25,1.69,3300.87,1712,1613.27,78
302,5,,397.1905,1562.51,181.26,1.36,2017.55,1528,1098.84,91
303,10,,697.18184,1200.89,192.1,1.37,3641.04,1671,1626.64,117
304,8,4,304.99333,1851.01,89.14,1.08,3457.57,1311,3403.07,80
305,5,7,192.32013,376.96,235.46,0.54,3579.19,1452,2869.02,69
306,1,1,541.15189,8352.41,116.29,1.8,12727.3,1357,2632.71,97
307,7,7,319.53442,585.96,215.91,5.52,1317.53,4752,591.21,239
308,10,,163.95345,1179.86,127.43,1.7,2612.71,1806,2244.68,209
309,10,,354.17146,1180.95,575.07,0.53,5113.53,1524,2571.42,91
310,6,3,783.44606,3318.38,98.92,1.07,4642.87,2324,1263.51,96
311,10,,445.61162,801.47,89.18,1.75,18561.88,2371,1494.71,93
312,2,"3, 4",338.89114,4446.41,169.08,3.74,6516.43,1686,2343.23,97
313,10,,209.9937,642.43,30.36,9.86,2029.28,1537,556.8,153
314,3,"1, 2",218.06343,194.58,54.54,4.16,1203.41,2227,715.96,187
315,3,"3, 4, 5",181.67576,67.72,26.33,4.26,334.94,1754,495.77,751
316,10,,190.89194,774.06,78.06,2.03,4329.67,1195,2128.6,445
317,10,,685.77101,3667.06,131.53,0.95,3980.7,1874,1849.27,66
318,1,1,152.21668,2091.94,45.41,1.53,3154.19,2509,1354.85,152
319,5,"1, 3, 4",328.69298,929.37,79.18,6.43,4018.92,2214,654.41,106
320,1,4,126.71799,73.27,19.98,4.13,250.5,1361,302.52,3141
321,10,,175.4415,380.26,252.56,1.32,11875.29,998,2418.41,54
322,10,,373.99892,1330.76,129.65,1.49,3730.01,1722,1934.26,50
323,4,1,171.32078,3710.53,135.58,0.26,18616.73,763,213.89,43
324,10,,582.78281,802.9,69.8,1.13,1969.76,1919,1635.29,58
325,1,1,245.39561,3508.29,573.42,2.14,6286.46,1740,1806.12,86
326,1,"1, 4, 5",216.88906,122.78,64.27,5.52,365.74,2369,418.78,391
327,4,"1, 2, 3",151.76303,557.51,70.07,1.89,1885.56,1981,1240.38,607
328,10,,304.64734,2841.96,71.06,0.74,8216.98,1286,8899.85,44
329,10,,468.19292,337.52,39.94,4.07,793.56,5574,383.16,195
330,10,,442.70913,2624.73,294.94,0.95,7457.55,1443,1238.13,149
331,6,"1, 2, 4",807.02339,2814.84,477.15,0.71,12857.79,1131,1979.25,88
332,1,,518.72033,6986.86,129.89,0.64,7543.73,1342,5019.65,191
333,10,,292.76217,208.65,18.29,1.45,1890.83,1841,2283.12,88
334,2,4,824.62298,461.6,84.35,0.93,949.67,2989,1439.78,319
335,3,1,368.76772,2105.47,79.37,2.36,3243.32,1846,1398.4,139
336,8,,136.69589,702.84,139.57,3.05,1471.06,4027,595.23,92
337,5,,738.32766,1425.37,206.29,0.72,3119.34,1799,1615.28,320
338,10,,848.31499,2910.48,668.32,1.17,4884.89,1390,3579.34,268
339,4,4,411.54689,748.36,105.29,0.77,16691.08,860,3571.5,74
340,8,,596.08636,1230.17,91,0.93,4510.95,2083,1712.07,316
341,1,4,358.21393,2067.65,201.91,0.28,7787.8,1082,1683.68,200
342,1,"3, 4, 5",247.52514,44.44,20.76,2.55,132.48,15280,78.2,1979
343,4,3,550.85476,1078.6,91.44,1.16,3278.5,1730,1596.74,108
344,1,,650.72133,2879.47,66.16,0.87,17372.34,1709,4801.62,109
345,10,,474.33239,1497.14,108.96,0.4,3894.01,1209,7268.61,74
346,9,,309.85833,2643.47,160.36,0.92,14961.99,1172,2969.45,251
347,2,,125.40324,623.77,181.94,2.06,3494.4,3019,2050.53,327
348,8,,438.67486,2412.91,73.33,0.98,5012.34,2017,1235.2,100
349,10,,549.88206,1261.91,42.64,1.52,3910.69,2104,1380.99,82
350,4,,564.39842,2196.83,290.86,0.42,7849.81,1439,3531.41,68
351,1,7,364.80718,1960.71,133.76,0.78,3265.37,2033,1265.58,119
352,15,,884.74983,714.05,74,0.26,2888.8,2657,2200.98,314
353,10,,401.45702,476.5,50.94,0.97,2955.78,2091,1040.76,312
